dataset,model,ep,variant,collection_interval,max_layers_per_cycle,mean_par,transmit_amount,runtime_seconds,par_ratio_vs_ds_eplb_1024,transmit_ratio_vs_ds_eplb_1024,par_improvement_vs_default,extra_transmit_per_par_point,matches_existing_ds_eplb_1024
ShareGPT,DS-R1,32,Default,0,all,1.6436306555882436,0,2.55605411529541,0.7647846943010392,0.0,0.0,0.0,
ShareGPT,DS-R1,32,DS-EPLB@256:layers=all,256,all,1.1741949761002861,312336,11.851431846618652,1.0705407483965519,3.7927868852459015,0.28560898270661045,665343.5468319838,
ShareGPT,DS-R1,32,DS-EPLB@512:layers=all,512,all,1.239764593987013,164990,7.511132001876831,1.0139211706597901,2.0035215543412264,0.24571582443300793,408526.52819069475,
ShareGPT,DS-R1,32,DS-EPLB@1024:layers=all,1024,all,1.2570235684778717,82350,5.07357382774353,1.0,1.0,0.23521530569896074,213006.95912097962,False
ShareGPT,DS-R1,32,DS-EPLB@2048:layers=all,2048,all,1.3158023221758415,32681,3.6406209468841553,0.9553285833993879,0.3968548876745598,0.1994537716230869,99689.3699205916,
ShareGPT,DS-R1,32,DS-EPLB@4096:layers=all,4096,all,1.4828472766635346,16640,3.1494457721710205,0.8477093954720845,0.20206435944140863,0.09782208574539263,103493.28463728895,
ShareGPT,DS-R1,64,Default,0,all,2.1642388048177397,0,2.633111000061035,0.6614832540320104,0.0,0.0,0.0,
ShareGPT,DS-R1,64,DS-EPLB@256:layers=all,256,all,1.2850915829137342,334399,19.476606130599976,1.1140122199440852,3.640707675557975,0.4062154416356297,380367.4648209412,
ShareGPT,DS-R1,64,DS-EPLB@512:layers=all,512,all,1.3939341096844253,183751,11.630841970443726,1.0270268280021435,2.0005552531301034,0.3559240752076734,238543.26886609299,
ShareGPT,DS-R1,64,DS-EPLB@1024:layers=all,1024,all,1.4316077271131873,91850,7.215213060379028,1.0,1.0,0.3385167459679897,125370.05703850347,False
